5	0.3733	0.3120
10	0.4052	0.3610
15	0.4437	0.3973
20	0.4685	0.4190
25	0.4862	0.4324
30	0.5043	0.4520
35	0.5296	0.4700
40	0.5511	0.4890
45	0.5659	0.5004
50	0.5801	0.5122

X-V5_nAe0ZM9OzxhDlJ-9Q 7	0.9250 0.8000 | 0.9263 0.9000 | 0.9866 0.9333 | 0.9764 0.9000 | 0.9813 0.9200 | 0.9851 0.9333 | 0.9886 0.9429 | 0.9551 0.9250 | 0.9444 0.9333 | 0.9513 0.9400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 8	0.9250 0.8000 | 0.9698 0.9000 | 0.9504 0.8667 | 0.8659 0.9000 | 0.9027 0.9200 | 0.9478 0.8667 | 0.9353 0.9143 | 0.9365 0.9250 | 0.9368 0.9333 | 0.9512 0.9400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 9	0.8167 0.6000 | 0.8485 0.8000 | 0.9247 0.8667 | 0.9166 0.8500 | 0.9375 0.8400 | 0.9513 0.8667 | 0.9509 0.8857 | 0.9873 0.9250 | 0.9790 0.9111 | 0.9813 0.9200 | 
ypQk69T7hH1ywDM_39NJnA 0	0.0076 0.0000 | 0.0244 0.0000 | 0.3565 0.2667 | 0.2900 0.2000 | 0.3057 0.1600 | 0.3043 0.1667 | 0.3619 0.2286 | 0.3789 0.3000 | 0.3768 0.2000 | 0.3283 0.2400 | 
ypQk69T7hH1ywDM_39NJnA 1	1.0000 0.2000 | 0.3389 0.1000 | 0.2569 0.0667 | 0.1359 0.1000 | 0.2844 0.2400 | 0.2566 0.2000 | 0.2721 0.2857 | 0.3144 0.2750 | 0.2740 0.2889 | 0.2958 0.2800 | 
ypQk69T7hH1ywDM_39NJnA 2	0.0075 0.0000 | 0.0118 0.0000 | 0.0189 0.0000 | 0.0698 0.0500 | 0.0714 0.0800 | 0.2479 0.1667 | 0.2536 0.2000 | 0.3658 0.2500 | 0.4638 0.3111 | 0.4627 0.3600 | 
ypQk69T7hH1ywDM_39NJnA 3	0.2535 0.2000 | 0.2517 0.2000 | 0.1990 0.2667 | 0.2510 0.3000 | 0.3757 0.3600 | 0.3310 0.3333 | 0.3877 0.3429 | 0.4372 0.3250 | 0.4224 0.2889 | 0.4552 0.3000 | 
ypQk69T7hH1ywDM_39NJnA 4	0.0026 0.0000 | 0.0188 0.0000 | 0.0452 0.0000 | 0.1392 0.1000 | 0.3172 0.2000 | 0.2172 0.1667 | 0.2134 0.1714 | 0.1918 0.2000 | 0.3134 0.2222 | 0.2786 0.1800 | 
ypQk69T7hH1ywDM_39NJnA 5	0.2000 0.2000 | 0.2649 0.1000 | 0.3181 0.2000 | 0.2338 0.1500 | 0.1936 0.1200 | 0.1502 0.1000 | 0.1420 0.1143 | 0.3040 0.2500 | 0.3406 0.2000 | 0.1194 0.1000 | 
ypQk69T7hH1ywDM_39NJnA 6	0.0323 0.0000 | 0.2212 0.1000 | 0.0248 0.0000 | 0.3842 0.2500 | 0.3222 0.2000 | 0.2851 0.2000 | 0.4802 0.2857 | 0.4867 0.3000 | 0.4241 0.3111 | 0.5317 0.2800 | 
ypQk69T7hH1ywDM_39NJnA 7	0.0105 0.0000 | 0.0376 0.1000 | 0.0429 0.0667 | 0.0857 0.1000 | 0.1538 0.2000 | 0.1342 0.1333 | 0.1749 0.2000 | 0.3053 0.2000 | 0.1946 0.1556 | 0.1849 0.1800 | 
ypQk69T7hH1ywDM_39NJnA 8	0.0065 0.0000 | 0.0154 0.0000 | 0.0247 0.0000 | 0.2380 0.1000 | 0.2673 0.1200 | 0.2740 0.2667 | 0.2860 0.2857 | 0.2983 0.3000 | 0.2879 0.2444 | 0.3101 0.2800 | 
ypQk69T7hH1ywDM_39NJnA 9	0.0203 0.0000 | 0.0961 0.1000 | 0.2052 0.2000 | 0.3419 0.2000 | 0.1763 0.1600 | 0.2428 0.1333 | 0.4299 0.0857 | 0.4876 0.1250 | 0.4278 0.1556 | 0.3354 0.2000 | 
